query_id,doc_id,relevance
10596,284235,1
10596,316838,1
10596,208070,1
10596,164008,1
10596,413041,1
10645,588607,1
10645,22221,1
10674,99857,1
10674,257241,1
10674,543589,1
10674,3095,1
10734,589970,1
10734,263481,1
10734,470289,1
10734,225718,1
10734,426278,1
10734,62882,1
10975,61022,1
